,date,prcp
0,2016-08-24,0.08
1,2016-08-25,0.08
2,2016-08-26,0.0
3,2016-08-27,0.0
4,2016-08-28,0.01
5,2016-08-29,0.0
6,2016-08-30,0.0
7,2016-08-31,0.13
8,2016-09-01,0.0
9,2016-09-02,0.0
10,2016-09-03,0.0
11,2016-09-04,0.03
14,2016-09-07,0.05
15,2016-09-08,0.0
16,2016-09-09,0.03
17,2016-09-10,0.0
18,2016-09-11,0.05
19,2016-09-12,0.0
20,2016-09-13,0.02
21,2016-09-14,1.32
22,2016-09-15,0.42
23,2016-09-16,0.06
24,2016-09-17,0.05
25,2016-09-18,0.0
26,2016-09-19,0.0
27,2016-09-20,0.0
28,2016-09-21,0.0
29,2016-09-22,0.02
30,2016-09-23,0.0
31,2016-09-24,0.0
32,2016-09-25,0.0
33,2016-09-26,0.06
34,2016-09-27,0.02
35,2016-09-28,0.0
36,2016-09-29,0.0
37,2016-09-30,0.0
38,2016-10-01,0.0
39,2016-10-02,0.0
40,2016-10-03,0.0
41,2016-10-04,0.0
42,2016-10-05,0.0
43,2016-10-06,0.0
44,2016-10-07,0.0
45,2016-10-08,0.0
46,2016-10-09,0.0
47,2016-10-10,0.0
48,2016-10-11,0.0
49,2016-10-12,0.0
50,2016-10-13,0.0
51,2016-10-14,0.0
52,2016-10-15,0.0
53,2016-10-16,0.0
54,2016-10-17,0.01
55,2016-10-18,0.0
56,2016-10-19,0.0
57,2016-10-20,0.0
58,2016-10-21,0.05
59,2016-10-22,0.15
60,2016-10-23,0.01
61,2016-10-24,0.0
62,2016-10-25,0.03
63,2016-10-26,0.0
64,2016-10-27,0.0
65,2016-10-28,0.0
66,2016-10-29,0.0
67,2016-10-30,0.24
68,2016-10-31,0.03
69,2016-11-01,0.0
70,2016-11-02,0.0
71,2016-11-03,0.0
72,2016-11-04,0.0
73,2016-11-05,0.0
74,2016-11-06,0.0
75,2016-11-07,0.0
76,2016-11-08,0.07
77,2016-11-09,0.0
78,2016-11-10,0.0
79,2016-11-11,0.0
80,2016-11-12,0.0
81,2016-11-13,0.0
82,2016-11-14,0.0
83,2016-11-15,0.0
84,2016-11-16,0.0
85,2016-11-17,0.0
86,2016-11-18,0.0
87,2016-11-19,0.03
88,2016-11-20,0.05
89,2016-11-21,0.01
90,2016-11-22,0.13
91,2016-11-23,0.14
92,2016-11-24,0.05
93,2016-11-25,0.05
94,2016-11-26,0.05
95,2016-11-27,0.0
96,2016-11-28,0.01
97,2016-11-29,0.0
98,2016-11-30,0.14
99,2016-12-01,0.12
100,2016-12-02,0.03
101,2016-12-03,0.0
